Definition,Lemma,Pronunciation,Part of Speech,Sentence Examples and Related Forms
"nama bagian dari marga Simalungun, yaitu Purba Dasuha (laki-laki) dan Boru Suha (perempuan)",suha,suha,Noun,
terbalik,suhar,suhar,Verb,suanma hayu gadung in janah ulang suhar panuanni! tanamlah kayu ubi ini dan jangan terbalik me- nanamnya!
takar,suhat,suhat,Noun,adong do dua kaleng suhat ni kopini ai ada dua takar kopinya itu; manuhat v menakar
talas,suhat,suhat,Noun,umbi talas: hanami mambolgang suhat kami merebus umbi talas
asing,suhi,suhi,Verb,lain: suhi baen ia mangan asing buat dia makan
mengotot untuk meminta sesuatu,suhil,suhil,Adjective,
hulu,suhul,suhul,Noun,gagang: domma maseda suhul ni pisouhu gagang pisauku sudah rusak
tepat,suhun,suhun,Adjective,pajuppah hita holi jam onom suhun kita berjumpa nanti pukul enam tepat
cukur,suhur,suhur,Verb,isuhur v dicukur; marsuhur v bercukur
orang yang punya pesta,suhut,suhut,Noun,"nini suhut, “haganup ontangan ase ijalo ibagas dear” orang yang punya pesta berkata, “semua undangan agar diterima dengan baik”"
payah dibelah,suing,suwiG,Adjective,tidak mau lurus dibelah: suing do bolah ni hayu on belah kayu ini tidak lurus
menir beras yang hancur,suju,suju,Noun,lembut: bahatni suju boras in do banyak sekali  menir beras itu
sejenis perangkap ikan,sujuk,sujuk,Noun,
nasihat,suku,suku,Noun,tangarhon suku ni inang ai! dengarkan nasihat ibu itu!
membakar dengan puntung kayu yang berapi,sula,sula,Verb,
suap,sulang,sulaG,Noun,
sisa,sulei,suley,Noun,mase sonin buei	ni	suleini?	mengapa begitu banyak sisanya?; manuleihon v menyisakan; marsulei v bersisa
jalan-jalan,sulelet,sulElEt,Verb,marsulelet v berjalan-jalan: eta marsulelet	hu	tiga!	ayo berjalan-jalan ke pekan!
tunas,suli,suli,Noun,
tempias,sulig,sulig,Noun,bossat dasor ondi sulig hunbai tayub lantai basah karena tempias dari atap
alat tulis yang terbuat dari lidi ijuk yang di- runcingkan ujungnya seperti pena (pada suku Batak dahulu ini dipakai untuk menulis di kulit-kulit kayu),suligi,suligi,Noun,
sebut,suligor,suligor,Verb,ingat; tarsuligor	v	tersebut: tarsuligor use goran ni amang ondi tersebut pula nama ayah dahulu
seruling,sulim,sulim,Noun,suling: ise do na manompul sulim ai? siapa yang meniup seruling itu?
"cara memasak sagu dengan membentuknya seperti bentuk kuali, tipis, lalu dijerangkan di api seperti kue martabak",sulit,sulit,Noun,
lampu,suluh,suluh,Noun,suluh rigapan bani na golap lampu menerangi tempat gelap; marsuluh v berlampu
tembilang,suluk,suluk,Noun,
lebih,sulur,sulur,Verb,bersisa: mase sulur ibahen? mengapa lebih dibuat?
sembah,sumbah,subbah,Verb,"manumbah v menyembah; panumbah n penyembah; sumbahan n sesuatu yang dipuja-puja	(batu,	pohon, patung, dll): sumbahan ni halak parhuta on do in puja-pujaan orang kampungnya itu"
banjir,sumbang,subbaG,Noun,
bagian dari alat tenun yang berfuingsi untuk menyamakan lebar sisi kain,sumbi,subbi,Noun,
cium,summah,summah,Verb,marsummah	v	berciuman: marsummah do sidea halani dakkah lang pajumpah mereka berciuman karena lama tidak berjumpa
karung,sumpit,suppit,Noun,nangkon boras on hu bagas sumpit ai! taruh beras ini ke dalam karung itu!
sumbat,sumpol,suppOl,Noun,manumpol v menyumbat; panumpol n penyumbat; tarsumpol v tersumbat
sembam,sumsam,sumsam,Verb,isumsam v disembam:  taboh do hape dekke na  isumsam enak rasanya ikan yang di- sembam
sunat,sunat,sunat,Verb,
nama per- kakas rumah,sundalap,suddalap,Noun,
mundur,sundar,suddar,Verb,menye- ah: ulang sundar anggo lape kalah! jangan mundur kalau belum kalah!
berhalangan,sundat,suddat,Verb,mase sundat nasiam roh bani partumpuan i jambur nongkan? kenapa kamu berhalangan hadir pada rapat tadi?
suntuk,sundol,suddOl,Adjective,
terantuk,sundol,suddOl,Verb,"halani ganjang ni si Bona, sundolma ia i labah karena si Bona ter- lalu tinggi, ia terantuk di pintu"
 terbenam,sundut,suddut,Verb,paima sundut mataniari paksa do ahu i juma mamuro menunggu matahari terbenam aku terpaksa menjaga padi di ladang
 mati,sundut,suddut,Verb,
melintang,sungkak,sukkak,Verb,sungkak hayu na mayup ai bae batu kayu yang hanyut itu me- lintang di batu
bongkar,sungkei,sukkey,Verb,manungkei v membongkar: manungkei aili do gadung nami nabodari babi hutan mem- bongkar ubi kami tadi malam; tarsungkei v terbongkar
terhalang,sungkod,sukkOd,Verb,sangkut (kepala): sungkod ulu hu bae labah ai kepalaku terhalang di pintu itu
terhalang,sungkok,sukkO?,Verb,"ulang i labah, sungkok hasoman mardalan! jangan di pintu, terhalang teman ber- jalan!"
tanya,sungkun,sukkun,Verb,
ingus,sungui,suGuy,Noun,marsungui-sunguion n dalam keadaan pilek: anak ni ai marsungui-sunguion anak saya ingus-ingusan
sembunyi,suni,suni,Verb,
pantat tabung bambu tempat kapur,suntei,suttEy,Noun,
suntil,suntil,suttil,Noun,tembakau; marsuntil v bersuntil; mengu- nyah tembakau: marsuntil do oppung	sonari	on	nenek menyuntil sekarang
petak,supak,supak,Noun,manupaki	v	memetaki; marsupak v berpetak
"takaran beras yang terbuat dari tempurung kelapa yang isinya sekitar , liter",supak,supak,Noun,
sopan,supan,supan,Adjective,supanma nasiam marpangbak hubani toras-toras nasiam! sopanlah kamu berkenalan pada orang tua kamu!
ingin,sura,sura,Adverb,
serambi,surambih,surabbih,Noun,au hundul i surambih saya duduk di teras
bertaburan,surar,surar,Verb,surar haganup tayub rumah halani logou marampilaos semua atap rumah bertaburan karena angin puting beliung
 surat,surat,surat,Noun,seng mambotoh surat tidak tahu huruf
menulis,manurat,,Verb,au manurat doding saya menulis lagu
   surat,surat,surat,Noun,	au mambasa suratni hasiholanku saya membaca surat kekasih saya
"bakar (tentang hutan, rumah, dsb)",surbui,surbuy,Verb,
sodor,surduk,surduk,Verb,isurdukhon	v	disodorkan: isurdukhon hu jon sipanganon ai makanan itu disodorkan kemari
suruh,suruh,suruh,Verb,manuruh v menyuruh; panuruh v penyuruh
sisir,surui,suruy,Noun,surui jambulanmi ase ulang mangajuyut! sisir rambutmu agar tidak kusut!
suruk,suruk,suruk,Verb,manuruk v menyuruk; tarsuruk v tersuruk
 cerdik,sus,sus,Adjective,
 lincah,sus,sus,Adjective,"hasoman ai pardalanni hinsah tumang, sus hu jai, sus hu jon kawan itu berjalan cepat sekali, lincah ke sana, lincah ke mari"
ilmu untuk melemahkan dan menundukkan orang,susa,susa,Noun,
sempit,susat,susat,Adjective,tidak muat lagi: susat mando i bagas  mobil ai sudah sempit dalam mobil itu
tetek,susu,susu,Noun,manusu v menetek; manusui v meneteki
nama sejenis perangkap ikan,suyuk,suyuk,Noun,tangguk
huruf kedua belas dalam aksara Simalungun (dari surat sapuluh siah),ta,ta,Noun,
dulang,tabak,tabak,Noun,talam: tabak ibahen ianan gulei dayok dulang dibuat tempat gulai ayam
tahan,taban,taban,Verb,kekang; itaban v ditahan; dipenjara: na marsalah itaban pulisi yang bersalah	ditahan	(dipenjara) polisi
lawan,taban,taban,Noun,taban ai domma lumpat borngin nabudari lawan itu sudah lari malam semalam
obat penawar,tabar,tabar,Noun,ia mamboli tabar bani datu ia membeli obat penawar pada dukun
mantera,tabas,tabas,Noun,jampi; manabas v menjampi; martabas v berjampi-jampi: datu ai martabas dukun itu berjampi-jampi
"kata yang digunakan untuk mendapatkan persetujuan atau izin (untuk melakukan sesuatu,	ingin		lewat,	dsb) sebagai penanda kesopanan",tabi,tabi,Noun,"tabi, tabi,au laho lupus maaf, maaf , saya mau lewat; mangtabi		v	menghormati: anggo hita mariapusi halak dear do hita mangtabi kalau kita melewati orang tua lebih baik menghormatinya"
enak,taboh,tabOh,Adjective,gulei na iboanni nantuari taboh tumang daging yang dibawanya kema- rin enak sekali
nama sejenis tumbuhan labu,tabu,tabu,Noun,
rimbun,tabun,tabun,Adjective,hayu mangga ai tabun bulungni pohon mangga itu daunnya rimbun
bekal,tadah,tadah,Noun,otik tumang tadah jabolon ai bekal  buruh itu sedikit sekali
taji,tadi,tadi,Noun,ganjang tumang tadi ni dayok ai taji ayam itu panjang sekali
mayang kuncup,taduk,taduk,Noun,bahat do taduk ni kelapa nami banyak mayang kuncup kelapa kami
kencing,taga,taga,Verb,si Jengo ai taga i podomanni nabodari si Jengo itu kencing di tempat tidurnya tadi malam
sedia,tagam,tagam,Verb,bersiap: ia domma tagam paimahon parrohni pamilini hun Jakarta dia sudah sedia menunggu kedatangan familinya dari Jakarta
tabung,tagan,tagan,Noun,domma magou tagan ni oppung itakko halak tabung nenek sudah hilang dicuri orang
habis,tagas,tagas,Adjective,domma tagas indahan ai ipanganni  nasi itu sudah habis dimakannya
tagih,tagih,tagih,Verb,
sembelih,tagil,tagil,Verb,
belah,taha,taha,Verb,
tahan,tahan,tahan,Adjective,ia tahan manggoluh bani hasombuhan dia tahan hidup dalam kemis- kinan
besar (tentang lubang),tahar,tahar,Adjective,tahar do babahni begu mulut hantu besar lubangnya
ketiak,taheak,tahEa?,Noun,
khianat,tahi,tahi,Noun,bahat do jolma na hona tahi halani bujatni banyak orang yang  kena khianat karena jujurnya; martahi v berkhianat
gerakan,tahuk,tahuk,Noun,ulang songon tahukni guyut! jangan seperti geraknya tupai!
tahun,taun,taun,Noun,
gali,tahur,tahur,Verb,
enau yang tidak lagi menghasilkan nira,tail,tail,Noun,
sejenis mata uang pada zaman Belanda,tail,tail,Noun,
tergantung,tair,tair,Verb,ulangma ipaturut tair andor in halani sangkot hasoman mardalan! jangan dibiarkan tergantung tali-tali itu karena kalau teman berjalan bisa tersangkut
rebut,taja,taja,Verb,rampas
tajak,tajak,tajak,Noun,manajak v menajak; tartajak v tertajak
keras kepala,tajal,tajal,Adjective,"si Obo tajal tumang, seng dapot ipodahi namatorasni si Obo keras kepala sekali, tidak dapat dinasehati orang tuanya"
sangkar,tajan,tajan,Noun,bahat tumang tulur ni dayok bani tajan age otik do dayokni banyak sekali telur ayam di sangkar biarpun ayamnya se- dikit
pipih,tajap,tajap,Adjective,domma tajap ember ni bani hayu na marumbak halani odoh embernya sudah pipih oleh kayu yang tumbang
tarum,tajom,tajOm,Noun,boi do tajom bani tambar borit boltok tarum dapat dijadikan obat sakit perut
anjur,tajuk,tajuk,Verb,
lereng,takengan,takeGan,Noun,
cincang,taktak,taktak,Verb,"buat gadung in, taktak lumat bani panganon ni dayok! ambil ubi itu, cincang halus untuk makanan ayam!"
terbuka,talag,talag,Verb,mase domma talag bajuni si Ali ai? kenapa sudah terbuka baju si Ali itu?
bawah,talaga,talaga,Noun,"na hotor ulang iluan-luan bahen, tapi i talaga nakkon yang kotor jangan di atas, tetapi letakkan di bawah"
telanjang,talanjang,talajjaG,Verb,dakdanak	maridi	talanjang anak-anak mandi telanjang; martalanjang v bertelanjang
terang,talar,talar,Adjective,domma talar sonari pamikiranhu pikiranku sudah terang sekarang
terlihat jelas,talar,talar,Verb,talar do ganup bani naibata semua terlihat jelas oleh Tuhan
tebal (tentang sayatan),talbang,talbaG,Noun,
sipi,talbis,talbis,Adjective,"hampirma nokkan ia madabuh, talbis nando dia tadi hampir jatuh, sipi lagi"
jatuh,talbug,talbug,Verb,pangkei ho manangkih gambiri ase lang talbug berhati-hati kamu me- manjat pohon kemiri agar tidak jatuh
berselisih jauh,taldou,taldOw,Adjective,godang ni on taldou humbani na legan in besarnya ini jauh berselisih daripada yang lain
,talempong,taleppOG ,Noun,
tali,tali,tali,Noun,buat tali bani panrahut barang on! ambil tali untuk pengikat barang ini!; martali v bertali
potongan pada batang kelapa untuk tempat berpijak saat memanjat,talkah,talkah,Noun,
lentera,tallung,talluG,Noun,
jelas,talotas,talotas,Adjective,sahapni ai talotas botohon perkataannya jelas kita ketahui
luas,talpang,talpaG,Adjective,lang talpang parhorjaanta ai peker- jaan kita itu tidak luas
jatuh (semua),talpung,talpuG,Verb,"nonoima tongon, talpung do haganupan? coba lihat betul, semuanya jatuh bukan?"
pukul,taltal,taltal,Verb,
hutan,talun,talun,Noun,i jai dong talun bani parjumaan di sana ada hutan untuk perladangan
cocok,talup,talup,Adjective,pantas: anggo ho talup pakon  si Junaha kalau engkau cocok dengan si Junaha
bebatuan,talutuk,talutuk,Noun,akar pe lang ra tubuh i talutuk ai akar pun tidak mau tumbuh di bebatuan itu
cocok,tama,tama,Adjective,pantas; patut: haganupan tama hu bani semuanya pantas untuk dia
tambah,tambah,tabbah,Noun,piga nari tambahni ase sukkup berapa lagi tambahnya biar cukup
tempat makan dari bambu,tambahur,tabbahur,Noun,
tambal,tambal,tabbal,Verb,
duduk,tambam,tabbam,Verb,
timbun,tamban,tabban,Verb,tamban lobei lubang ai! timbun dulu lubang ini!
sewa,tambang,tabbaG,Verb,
obat,tambar,tabbar,Noun,martambar v berobat: laho au martambar saya pergi berobat; martambari v berulang-ulang berobat
ikat,tambat,tabbat,Verb,manambat v mengikat; manambathon v mengikatkan
tumit,tambihul,tabbihul,Noun,nahei ni si Ali tambihulni godang kaki si Ali tumitnya besar
bengkak,tambing,tabbiG,Adjective,tambing mata si Ali  halani idoit bala borngin mata si Ali bengkak karena disengat lebah kemarin
kuku (binatang),tambirik,tabbirik,Noun,tonggor lobei tambirik ni huda ai! lihat dahulu kuku kuda itu!
nama sejenis tanaman hutan,tambos,tabbOs,Noun,
kudapan,tambul,tabbul,Noun,etah mangan tambul lobei paima mangan ayo makan kudapan terlebih dahulu sebelum makan (resmi)
tanah galian,tambur,tabbur,Noun,bahat do tambur igijikkon banyak tanah galian dilempar- kan
timbun,tambus,tabbus,Verb,tambus lobei lubang ai! timbun dahulu lubang itu!
rata,tampak,tappak,Adjective,domma tampak ujung hu ujung sudah rata dari ujung ke ujung
bibit,tampang,tappaG,Noun,
tampar,tampar,tappar,Verb,itampar v ditampar: itampar si Ali	nokkan	mangkap haganupan	semua		tumpah ditampar si Ali tadi; manampar v menampar; manampari v menampari; manamparhon v menampar- kan
letak,tampei,tappEy,Noun,itampeihon v diletakkan; manampeihon v meletakkan
terima,tampin,tappin,Verb,manampin v menerima: ia manampin	surat	bani harompakni ia menerima surat dari orangtuanya
hilir,tamporan,tapporan,Noun,pasma i tamporan paridianni daboru pemandian perempuan tepatlah di hilir
tembolok tampua [tappua] n tempua tampuk [tappuk] n tangkai,tamporung,tapporuG,Noun,
musang,tampulak,tappulak,Noun,dayokni itangkap tampulak i bagas harang bagasni ayamnya ditangkap musang di dalam sarangnya
tanda,tanda,tadda,Noun,kenal; mananda v mengenal; patandahon v mengenalkan; partandaan n pertanda
tandang,tandang,taddaG,Verb,martandang v bertandang; tandangkon v mengajak orang untuk bertandang
kentongan,tandang,taddaG,Noun,anggo dong na masa i huta igual do tandang ase ibotoh parhuta jika ada kejadian di kampung maka dipukullah kentongan agar penduduk mengetahui
tanduk,tanduk,tadduk,Noun,mananduk v menanduk; manandukhon	v menandukkan
kuda-kuda,tandur,taddur,Noun,
hanya,tang,taG,Adverb,sai do tang harosukni hanya itu cintanya tangah   [taGah]   n   kutu   busuk
tangan,tangan,taGan,Noun,"tangan manjolom, nahei manipak tangan menjabat, kaki menye- pak"
mendengar,manangar,manaGar,Verb,dapat menangkap suara (bunyi) dengan telinga
mendengar,manangar,manaGar,Verb,	manangar radio 	mendengar radio
dengar,tangar,taGar,Verb,
uap,tangas,taGas,Noun,tangkas do taridah tangas bah anggo sogot-sogot uap air tampak jelas jika pagi hari
tangga,tangga,tagga,Noun,martangga v bertangga: jabu nami martangga rumah kami bertangga
terbuka,tanggak,taggak,Verb,mase tanggak labahni rumah ai? mengapa terbuka pintu rumah itu?
lepas,tanggal,taggal,Verb,copot; iponni domma tanggal giginya sudah lepas
tetak,tanggam,taggam,Verb,itanggam v ditetak: domma itanggam ho hayu ai? sudah engkau tetak kayu itu?; mananggam v menetak
sedia,tanggek,taggE?,Verb,domma tanggek i jai sipanganon makanan sudah sedia di situ
nama sejenis pakis kayu yang dapat dibuat tiang gubuk,tanggian,taggian,Noun,
tenggiling tanggiripan [taggiripan] n penyu tanggo [taggo] v tampung,tanggiling,taggiliG,Noun,tanggo
jelaga yang terdapat di periuk atau belanga,tanggong,taggOG,Noun,
,tanggopul,taggopul,Noun,
jerang,tanggor,taggOr,Verb,tanggor balanga ai! jerangkan belanga itu!
punggung,tanggoruh,taggoruh,Noun,tanggoruh ni horbou sodap bahen sup tulang punggung kerbau sedap dibuat sop
tinggal,tangguh,tagguh,Verb,manangguhkon v meninggal- kan
rukam,tanggulon,taggulOn,Noun,
tanggung,tanggung,tagguG,Verb,itanggung v ditanggung; mananggung v menanggung
tempat makanan babi,tanggungan,tagguGan,Noun,
punggung,tanggurung,tagguruG,Noun,ia mamboan siboanon bani  tanggurungni dia membawa beban dengan punggungnya
dengar,tangi,taGi,Verb,
tangis,tangis,taGis,Verb,menangis: tangis adik halani itadingkon inang adik menangis karena di- tinggalkan ibu
tangkal,tangkal,takkal,Noun,penangkal
cupak yang ter- buat dari tempurung kelapa tangkas  [takkas]  a  jelas,tangkar,takkar,Noun,domma
sejenis kapak,tangkei,takkey,Noun,beliung
kecil,tangkidik,takkidik,Adjective,"dong do na banggal, ibuei tangkidik ni ada yang besar, diberinya yang kecil"
panjat,tangkih,takkih,Verb,manangkih	v	memanjat: manangkih here i hayu ai kera memanjat di pohon itu; panangkih n pemanjat; tartangkih v terpanjat
gendong,tangking,takkiG,Verb,manangking v menggendong: inang ai manangking anakni ibu itu menggendong anaknya; panangking n penggendong; tartangking v tergendong
kurang,tangkir,takkir,Adverb,"tanggung: parsuma horjani ai, tangkir do haganupan percuma saja pekerjaannya, semua tanggung"
sambar,tangkis,takkis,Verb,manangkis	v	menyambar: manuk-manuk			hampiles manangkis kiok burung layang- layang menyambar ulat
curi,tangko,takko,Verb,
mendaki,tangkong,takkOG,Verb,dalanni tangkong hu dolog jalannya mendaki ke bukit
tiarap,tangkop,takkOp,Verb,halak ai tangkop i atas buhit  orang itu tiarap di atas bukit
tengkuk,tangkuhuk,takkuhuk,Noun,kuduk: manongi ambulu ni tangkuhukni halani  mabiar bulu kuduknya berdiri karena takut
topi,tangkuluk,takkuluk,Noun,tudung kepala
gugur,tangtang,tattaG,Verb,torih lobei tangtang ni demban! cari dahulu sirih yang gugur
tombak,tanja,tajja,Noun,
terjang,tanjak,tajjak,Verb,
daerah,tanoh,tanoh,Noun, au marianan i tano Simalungun saya tinggal di tanah Simalungun
tanah,tanoh,tanoh,Noun,per- mukaan bumi atau  lapisan bumi yang paling atas
tanam,tanom,tanOm,Verb,mananom v menanam: au mananom omei saya menanam padi
akar yang bergantung,tantan,tattan,Noun,buat lobei tantan ni hayu ai! ambil dulu akar yang bergantung di pohon itu!
galang di atas tiang tempat melengketkan lantai,tantoban,tattoban,Noun,
danau,tao,taO,Noun,tao Toba na laingan Danau Toba yang indah
tapa,tapa,tapa,Verb,semedi; martapa v bertapa; bersemedi: piga borngin ho martapa i jai? berapa malam kau bertapa di situ?
tapak,tapak,tapak,Noun,
bersamaan,tapang,tapaG,Adverb,lahoma hita tapang hu jai kita pergi besamaan ke sana
tali perian,tapangan,tapaGan,Noun,
tapai,tapei,tapey,Noun,
tetapi,tapi,tapi,Particle,
pemandian,tapian,tapiyan,Noun,tempat mandi
pecah,tapis,tapis,Adjective,
saringan tapongan [tapoGan] n bakul taptap [taptap] a basah,tapis,tapis,Noun,
meterai,tara,tara,Noun,tera
sejenis rumput menjalar,tarahuak,tarahuwak,Noun,
saat,taram,taram,Noun,musim
nama sejenis burung berparuh panjang dan pengisap bunga,tarasih,tarasih,Noun,
sesak,targok,targOk,Adjective,ia targok halani borit napas ia sesak karena sakit napas
pingsan,tarhatos,tarhatOs,Verb,
tarik,tarik,tarik,Verb,hela
agak susah,tarngalut,tarGalut,Adjective,goluhni tarngalut hidupnya agak susah
